Char1,Char2,Reason
Leviathan,Sage,"Each night*, the Leviathan chooses an alive good player (different to previous nights): a chosen Sage uses their ability but does not die."
Leviathan,Soldier,"If the Leviathan nominates and executes the Soldier, good wins."
Lil Monsta,Hatter,"If the Hatter dies & the Demon chooses Lil Monsta, they also choose a Minion to become."
Lil Monsta,Poppy Grower,"If Lil Monsta & the Poppy Grower are alive, Minions wake one by one, until one of them chooses to take the Lil Monsta token."
Lil Monsta,Psychopath,"If the Psychopath is babysitting Lil Monsta, they die when executed."
Lil Monsta,Magician,"If the Magician is alive, the Storyteller chooses which Minion babysits Lil Monsta."
Lil Monsta,Scarlet Woman,"If Lil Monsta dies with 5 or more players alive, the Scarlet Woman babysits Lil Monsta for the rest of the game."
Lil Monsta,Vizier,"If the Vizier is babysitting Lil Monsta, they die when executed."
Lleech,Mastermind,"If the Mastermind is alive and the Lleech host dies by execution, the Lleech lives but loses their ability."
Lleech,Slayer,"If the Slayer slays the Lleech host, the host dies."
Riot,Banshee,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Banshee dies & gains their ability."
Riot,Exorcist,"If the Exorcist chooses Riot on the 3rd night, Minions do not become Riot."
Riot,Farmer,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Farmer uses their ability but does not die."
Riot,Grandmother,"If Riot is in play and the Grandchild dies during the day, the Grandmother dies too."
Riot,Innkeeper,"If Riot is in play, the Innkeeper-protected player is safe from all evil abilities."
Riot,King,"If Riot is in play, and at least 1 player is dead, the King learns an alive character each night."
Riot,Mayor,"The Mayor may choose to stop nominations. If they do so when only 1 Riot is alive, good wins. Otherwise, evil wins."
Riot,Monk,"If Riot is in play, the Monk-protected player is safe from all evil abilities."
Riot,Ravenkeeper,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Ravenkeeper uses their ability but does not die."
Riot,Sage,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Sage uses their ability but does not die."
Riot,Soldier,"If Riot is in play, the Soldier is safe from all evil abilities."
Vortox,Banshee,"If the Vortox is in play and the Demon kills the Banshee, the players still learn that the Banshee has died."
Yaggababble,Exorcist,"If the Exorcist chooses the Yaggababble, the Yaggababble ability does not kill tonight."
