char1,char2,reason
lilmonsta,poppygrower,"If Lil Monsta & the Poppy Grower are alive, Minions wake one by one, until one of them chooses to take the Lil Monsta token."
lilmonsta,psychopath,"If the Psychopath is babysitting Lil Monsta, they die when executed."
lilmonsta,magician,"If the Magician is alive, the Storyteller chooses which Minion babysits Lil Monsta."
lilmonsta,scarletwoman,"If Lil Monsta dies with 5 or more players alive, the Scarlet Woman babysits Lil Monsta for the rest of the game."
lilmonsta,vizier,"If the Vizier is babysitting Lil Monsta, they die when executed."
lleech,mastermind,"If the Mastermind is alive and the Lleech host dies by execution, the Lleech lives but loses their ability."
lleech,slayer,"If the Slayer slays the Lleech host, the host dies."
riot,atheist,"During a riot, if the Storyteller is nominated, players vote. If they are ""about to die"", the game ends. If not, they nominate again."
riot,banshee,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Banshee dies & gains their ability."
riot,exorcist,"If Riot nominates and executes the Exorcist-chosen player, good wins."
riot,farmer,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Farmer uses their ability but does not die."
riot,grandmother,"If Riot is in play and the Grandchild dies by execution, evil wins."
riot,innkeeper,"If Riot nominates and executes an Innkeeper-protected player, good wins."
riot,king,"If Riot is in play, and at least 1 player is dead, the King learns an alive character each night."
riot,mayor,"The Mayor may choose to stop the riot. If they do so when only 1 Riot is alive, good wins. Otherwise, evil wins."
riot,monk,"If Riot nominates and executes the Monk-protected player, good wins."
riot,ravenkeeper,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Ravenkeeper uses their ability but does not die."
riot,sage,"Each night*, Riot chooses an alive good player (different to previous nights): a chosen Sage uses their ability but does not die."
riot,soldier,"If Riot nominates and executes the Soldier, good wins."
vortox,banshee,"If the Vortox kills the Banshee, all players learn that the Banshee has died."
yaggababble,exorcist,"If the Exorcist chooses the Yaggababble, the Yaggababble does not kill tonight."
